PKNAME,PEAKID,PKNAME2,PKNAME_COSO,LOCATION,osm.x,osm.y,osm,wiki,s,Lat,Lon
Kangbachen,KANB,Kambachen,Kangbachen,Kangchenjunga Himal (W Spur of Kangchenjunga),1,0,0,1,2,,
Kangbachen East,KBNE,Kambachen East,Kangbachen,Kangchenjunga Himal (plateau SE of Kangbachen?),0,0,0,0,0,,
Kangchenjunga,KANG,NA,,Kangchenjunga Himal,1,0,1,0,2,,
Kangchenjunga Central,KANC,NA,,Kangchenjunga Himal (between Main and South summits),1,0,0,1,2,,
Kangchenjunga North,KANN,NA,Kangchenjunga,Kangchenjunga Himal (small knob north of Main summit),0,0,0,0,0,,
Kangchenjunga South,KANS,NA,,Kangchenjunga Himal,1,0,0,1,2,,
Kangchung Nup,KCHN,"Khangchung Nup, Kangcho Nup, Cholo, Abi Peak",,Khumbu Himal (NE of Gokyo Lake),0,0,0,0,0,,
Kangchung Shar,KCHS,"Khangchung, Kangcho Shar, UIAA Peak",,Khumbu Himal (NE of Gokyo Lake),0,0,0,0,0,,
Kangtega,KTEG,"Kantega, Khangtega, Kang Taiga",,Khumbu Himal (SW of Ama Dablam),1,0,0,1,2,,
Kangtokal,KTOK,Khang Tokal,Putha Hiunchuli,Dhaulagiri Himal (on ridge N of Putha Hiunchuli),0,0,0,0,0,,
Kangtsune,KTSU,"Kangchunne, Kanchauni Lekh",,"Kagmara Lekh (SE of Kanjiroba, W of Kanjeralwa)",0,0,0,0,0,,
Kanjeralwa,KJER,"Kanjirowa, Kanchen Ruwa",Kanjeralwa,Kanjiroba Himal (NW of Phoksumdo Tal),1,0,0,0,1,,
Kanjiroba North,KJRN,NA,Kanjiroba ,Kanjiroba Himal,0,0,0,0,0,,
Kanjiroba South,KJRS,Kanjiroba Main,Kanjiroba ,Kanjiroba Himal,0,0,0,0,0,,
Kanta Gaton,KAGA,Kangfu Gaton,,Kanjiroba Himal (SE of Phoksumdo Tal),0,0,0,0,0,,
Kanti Himal,KANT,"Ronglai Kangri, Kaqur Kangri, Kubi Grangri",,Kanti Himal (NNW of Kanjiroba on Tibetan border),0,0,0,0,0,,
Kanti Himal Churau,KNTC,NA,,Kanti Himal (NW of Kanti Himal on Tibetan border),0,0,0,0,0,,
Kanti Himal East,KNTE,NA,,Kanti Himal (NW of Kanti Himal on Tibetan border),0,0,0,0,0,,
Kaptang,KAPT,NA,,Kanti Himal (NW of Kanti Himal peak on Tibetan border),0,0,0,0,0,,
Karko,KARK,NA,,Saipal Himal (WNW of Saipal),0,0,0,0,0,,
Karsang Khang,KARS,UAAA Peak,,Damodar Himal (NE of Saribung),0,0,0,0,0,,
Karyolung,KARY,NA,,Rolwaling Himal (SE of Numbur),1,0,0,1,2,,
