"PKNAME","PEAKID","PKNAME2","PKCONSO","LOCATION","HEIGHTM","ALL","osm.x","osm.y","osm","wiki","LAT","LONG"
"Nilgiri Central","NILC","NA","Nilgiri Central","Annapurna-Nilgiri Himal (NW of Annapurna I)",6940,1,1,0,0,0,,
"Nilgiri North","NILN","NA","Nilgiri North","Annapurna-Nilgiri Himal (NW of Annapurna I)",7061,2,1,0,0,1,,
"Nilgiri South","NILS","NA","Nilgiri South","Annapurna-Nilgiri Himal (NW of Annapurna I)",6839,2,1,0,0,1,,
"Numbur","NUMB","NA","Numbur","Rolwaling Himal (SW of Namche Bazar)",6958,0,0,0,0,0,"27,75444444","86,57305556"
"Nup La Kang","NUPL","Nupla Khang","Nangpa La","Khumbu Himal (N of Nup La on Tibetan border)",6861,0,0,0,0,0,,
"Nuptse","NUPT","NA","Nuptse","Khumbu Himal (SW of Everest)",7864,1,0,0,0,1,,
"Nuptse East I","NUPE","NA","Nuptse","Khumbu Himal (E of Nuptse main summit)",7795,0,0,0,0,0,,
"Nuptse West II","NUPW","Nuptse Nup II","Nuptse","Khumbu Himal (NW of Nuptse main summit)",7732,0,0,0,0,0,,
"Ohmi Kangri","OHMI","NA","Ohmi Kangri","Ohmi Kangri Himal (NW of Kangchenjunga on Tibetan border)",6839,0,0,0,0,0,"27,89722222","87,96694444"
"Palung","PLNG","Palung Ri","Cho Oyu","North of Cho Oyu (in Tibet)",7012,0,0,0,0,0,,
"Panbari","PANB","NA","Panbari","Peri Himal (NW of Larkya La)",6905,1,0,0,0,1,,
"Pasang Lhamu Chuli","PASA","Jasemba","Pasang Lhamu Chuli","Khumbu Himal (W of Cho Oyu & Cho Aui on Tibetan border)",7350,0,0,0,0,0,"28,07333333","6,61694444"
"Peak 29","PK29","Ngadi Chuli, Dakura, Dr Harka Gurung Chuli","Dr Harka Gurung Chuli","Manaslu Himal (S of Manaslu)",7871,0,0,0,0,0,"28,50333333","84,56861111"
"Peak 4","PK04","Shershon Ri","Peak 4","Khumbu Himal (SE of Baruntse)",6736,1,1,0,0,0,,
"Pemthang Karpo Ri","PEMK","Dome Blanc, Kan Karmo","Pemthang Karpo Ri","Jugal Himal (NNW of Dorje Lhakpa on Tibetan border)",6865,1,0,0,0,1,,
"Pemthang Ri","PEMR","NA","Pemthang Ri","Jugal Himal (N of Pemthang Karpo Ri on Tibetan border)",6743,1,1,0,0,0,,
"Pethangtse","PETH","NA","Pethangtse","Khumbu Himal (NW of Makalu on Tibetan border)",6739,1,0,0,1,0,,
"Phu Kang Go","PHUG","Phu Khang Go, Athahra Saya Khola Himal","Phu Kang Go","Peri Himal (SE of Cheo on Tibetan border)",6767,0,0,0,0,0,"28,73472222","84,49388889"
"Pumori","PUMO","NA","Pumori","Khumbu Himal (WNW of Everest on Tibetan border)",7138,1,0,0,0,1,,
"Putha Hiunchuli","PUTH","Dhaulagiri VII","Putha Hiunchuli","Dhaulagiri Himal (W of Churen Himal)",7246,2,1,0,0,1,,
"Pyramid Peak","PYRM","Pathibhara Chuli, Pathibhara Khas","Pathibara","Jongsang Himal (N of Kangchenjunga on Indian border)",7140,0,0,0,0,0,,
"Ramtang Chang","RAMC","Wedge Peak, Chang Himal","Ramthang Chang","Kangchenjunga Himal (N of Ramtang)",6802,0,0,0,0,0,,
"Ratna Chuli","RATC","NA","Ratna Chuli","Peri Himal (NW of Himlung on Tibetan border)",7035,2,1,0,0,1,,
"Roc Noir","ROCN","Khangsar Kang, Khang Sar Khang","Khangsar Khang","Annapurna Himal (ENE of Annapurna I)",7485,0,0,0,0,0,"28,6133","83,8736"
"Saipal","SAIP","NA","Saipal","Saipal Himal",7030,2,1,0,0,1,,
"Saipal East Humla","SAIE","NA","Saipal East","Saipal Himal (NE of Saipal)",6925,0,0,0,0,0,"29,89111111","81,50055556"
"Shalbachum","SHAL","Salbachum, Phrul Rangtshan Ri","Shalbachum","Langtang Himal (E of Langtang Lirung on Tibetan border)",6707,1,1,0,0,0,,
"Shartse","SHAR","Peak 38, Shanti Shikhar","Shanti Shikhar","Khumbu Himal (E of Lhotse Shar on Tibetan border)",7591,0,0,0,0,0,"27,95527778","86,9675"
"Shartse II","SHA2","Junction Peak","Shartse II","Khumbu Himal (E of Lhotse Shar on Tibetan border)",7457,1,0,0,1,0,,
"Sphinx","SPHN","Pathibhara Phurba, Pathibhara East","Pathibhara South East","Jongsang Himal (NE of Pathibhara on Indian border)",6825,0,0,0,0,0,"27,8084","88,188"
"Takargo","TKRG","Dragker-go","Takargo","Rolwaling Himal (E of Chobutse)",6771,2,1,0,0,1,,
"Talung","TLNG","NA","Talung","Simhalila Himal (S of Kangchenjunga on Indian border)",7349,2,1,0,0,1,,
"Tarke Kang Shar","TARS","Tare Kang","Tarke Khang","Annapurna Himal (E of Glacier Dome)",7069,0,0,0,0,0,"28,605","83,91611111"
"Tengi Ragi Tau","TENR","Agole, Angole","Tengi Ragi Tau","Rolwaling Himal (N of Tesi Laptsa)",6938,2,1,0,0,1,,
"Tharke Kang","THRK","Tharke Khang","Tarke Khang","Khumbu Himal (S of Nup La on Tibetan border)",6710,0,0,0,0,0,,
"Thulagi","THUL","Mansiri Himal","Thulagi Peak","Manaslu Himal (SW of Manaslu)",7059,0,0,0,0,0,"28,52777778","84,52277778"
"Tilicho","TILI","Tilitso","Tilicho Peak","Annapurna-Nilgiri Himal (N of Annapurna I)",7134,0,0,0,0,0,"28,6825","83,81388889"
"Tukuche","TUKU","NA","Tukuche Peak","Dhaulagiri Himal (NE of Dhaulagiri I)",6920,0,0,0,0,0,"28,74611111","83,56083333"
"Tutse","TUTS","Peak 6, Nephu","Tu Tse","Makalu Himal (SE of Makalu)",6758,0,0,0,0,0,"27,77194444","87,10138889"
"Yalung Kang","YALU","Yalungkar","Yalung Khang","Kangchenjunga Himal (W summit of Kangchenjunga)",8505,1,1,0,0,0,"27,705","88,13861111"
"Yalung Kang West","YALW","NA","Yalung Khang West","Kangchenjunga Himal (W summit of Yalung Kang)",8077,0,0,0,0,0,"27,70611111","88,12555556"
"Yangra Kangri South","YNGS","Yangra South, Ganesh I South","Yangra South","Ganesh Himal (NW of Ganesh III on Tibetan border)",6863,0,0,0,0,0,"28,34638889","85,11"
